TLS,20011217,5.22,5.27,5.21,5.23,11055835
TLS,20011218,5.25,5.29,5.24,5.26,15583576
TLS,20011219,5.27,5.31,5.24,5.25,16352601
TLS,20011220,5.24,5.27,5.23,5.26,15999776
TLS,20011221,5.27,5.31,5.21,5.3,45683099
TLS,20011224,5.3,5.4,5.3,5.39,5690914
TLS,20011227,5.39,5.48,5.37,5.48,6270725
TLS,20011228,5.48,5.48,5.4,5.44,5694497
TLS,20011231,5.44,5.47,5.42,5.44,8956914
TLS,20020102,5.43,5.48,5.39,5.47,5396091
TLS,20020103,5.46,5.51,5.45,5.48,9905402
TLS,20020104,5.525,5.6,5.5,5.58,21292301
TLS,20020107,5.61,5.66,5.6,5.6,14741400
TLS,20020108,5.57,5.65,5.56,5.57,14270265
TLS,20020109,5.58,5.62,5.55,5.6,13097109
TLS,20020110,5.6,5.64,5.5,5.5,18187782
TLS,20020111,5.5,5.54,5.43,5.52,23545856
TLS,20020114,5.49,5.51,5.46,5.49,11807562
TLS,20020115,5.44,5.48,5.42,5.44,23806864
TLS,20020116,5.45,5.46,5.42,5.44,23238685
TLS,20020117,5.41,5.45,5.39,5.44,23570709
TLS,20020118,5.43,5.47,5.39,5.43,27387025
TLS,20020121,5.42,5.5,5.42,5.5,14740604
TLS,20020122,5.51,5.57,5.51,5.55,25184919
TLS,20020123,5.52,5.56,5.52,5.54,18193730
TLS,20020124,5.55,5.57,5.49,5.5,22964637
TLS,20020125,5.52,5.52,5.46,5.51,28797237
TLS,20020129,5.52,5.55,5.5,5.51,13646781
TLS,20020130,5.48,5.5,5.45,5.47,18646907
TLS,20020131,5.47,5.52,5.46,5.49,22905391
TLS,20020201,5.5,5.52,5.43,5.43,18405969
TLS,20020204,5.41,5.43,5.38,5.42,15931439
TLS,20020205,5.4,5.4,5.34,5.34,23264096
TLS,20020206,5.32,5.36,5.28,5.36,23858618
TLS,20020207,5.34,5.46,5.33,5.4,25442841
TLS,20020208,5.45,5.5,5.43,5.49,24078803
